Source,Sector,Property No,Room No,Type,Rent,Availability,Notes,PublicRef,ListingIntent,WebsiteStatus,PhotoFolder,WebsiteDescription,SourceInventoryRef,VerificationStatus,InternalNotes,ListingStatusDate,,MediaFolderLink
S2L,Sec 57,2162,301,1BHK,35K,31-May-26,,MRH-1001,Rent,Hidden,MRH-1001,1BHK in Sec 57,S2L-2162-301,Pending,,,,https://drive.google.com/drive/folders/1jisCoWfL01V-DSQDC_kQu7B2nPGANqUc
S2L,Sec 52,560A,5,1RK,21K,31-May-26,,MRH-1002,Rent,Hidden,MRH-1002,1RK in Sec 52,S2L-560A-5,Pending,,,,https://drive.google.com/drive/folders/1kAHYnaE2JeKOCV0cR1hScMiWnAIsoRAK
S2L,South City 2,E34,109,1RK,23K,31-May-26,,MRH-1003,Rent,Hidden,MRH-1003,1RK in South City 2,S2L-E34-109,Pending,,,,https://drive.google.com/drive/folders/1sOBSU6QCsJHfbHucmdU1T3SHPs4-HXUl
S2L,South City 2,E34,302,1RK,23K,31-May-26,,MRH-1004,Rent,Hidden,MRH-1004,1RK in South City 2,S2L-E34-302,Pending,,,,https://drive.google.com/drive/folders/15HrwZdVOtIbjUkXvjoR7HmxWhzgeR7Qf
S2L,Sec 27,552,205,1RK,28K,31-May-26,,MRH-1005,Rent,Hidden,MRH-1005,1RK in Sec 27,S2L-552-205,Pending,,,,https://drive.google.com/drive/folders/1_keOlL6bSqqP4bY8j9JRrwWNhFq5mPrS
S2L,Sec 52,579,102,2BHK,47K,31-May-26,,MRH-1006,Rent,Hidden,MRH-1006,2BHK in Sec 52,S2L-579-102,Pending,,,,https://drive.google.com/drive/folders/1iMwCrNbVUEhp4MB7GX9IubXfg4GQw9yv
S2L,Sec 52,E12,101,2BHK,48K,31-May-26,,MRH-1007,Rent,Hidden,MRH-1007,2BHK in Sec 52,S2L-E12-101,Pending,,,,https://drive.google.com/drive/folders/1_u-_xmzgNACLL0ktH4um6-wbBvE859MF
S2L,Sec 52,B131,GF1,2BHK,47K,19-Jun-26,,MRH-1008,Rent,Hidden,MRH-1008,2BHK in Sec 52,S2L-B131-GF1,Pending,,,,https://drive.google.com/drive/folders/1eCDWvytbzq5Zi4NFHmA9M3oUB2NSegp2
S2L,Sec 52,B128,SF2,2BHK,47K,31-May-26,,MRH-1009,Rent,Hidden,MRH-1009,2BHK in Sec 52,S2L-B128-SF2,Pending,,,,https://drive.google.com/drive/folders/1JhmMPFm2-y1SKza_4N_yr4J4akn32Kl-
S2L,Sec 41,M233,501,1RK,18K,23-May-26,,MRH-1010,Rent,Hidden,MRH-1010,1RK in Sec 41,S2L-M233-501,Pending,,,,https://drive.google.com/drive/folders/1mZN4PJJIxUFeADEqMS1ccoN-OXoP6Srj
S2L,Sec 52,1766,18,1BHK,30K,31-May-26,,MRH-1011,Rent,Hidden,MRH-1011,1BHK in Sec 52,S2L-1766-18,Pending,,,,https://drive.google.com/drive/folders/1kSAP6VpKLLD20tvfOEZRo9Yrbrje326P?usp=drive_link
S2L,Sec 40,Q71,405,1BHK,35K,31-May-26,,MRH-1012,Rent,Hidden,MRH-1012,1BHK in Sec 40,S2L-Q71-405,Pending,,,,https://drive.google.com/drive/folders/1hZZtDU_-3gpSYwecAUwLOI-ollihnXMe
S2L,Sec 38,175,5,3BHK,62K,31-May-26,,MRH-1013,Rent,Hidden,MRH-1013,3BHK in Sec 38,S2L-175-5,Pending,,,,https://drive.google.com/drive/folders/1umOlUQGdu7rBNBvR1mNSbxkURQRwC4H1
S2L,Sec 52,C18,FFB,2BHK,48K,31-May-26,,MRH-1014,Rent,Hidden,MRH-1014,2BHK in Sec 52,S2L-C18-FFB,Pending,,,,https://drive.google.com/drive/folders/16YMVpOGFqRIssYR3DI44mMZbnsAgviKz
S2L,Sec 69,Avenue-69,302,2BHK,36K,05-Jun-26,,MRH-1015,Rent,Hidden,MRH-1015,2BHK in Sec 69,S2L-Avenue-69-302,Pending,,,,https://drive.google.com/drive/folders/1hzFZ3UlBJm10IZJ1th4uYHPz77qz94YU
S2L,Sec 69,Avenue-69,502,1RK,18K,31-May-26,,MRH-1016,Rent,Hidden,MRH-1016,1RK in Sec 69,S2L-Avenue-69-502,Pending,,,,https://drive.google.com/drive/folders/1Iq6u1RlXDj5wmPwJSEA5DrjBl-hLK8iU
S2L,Sec-53,248,4,1RK,16K,31-May-26,,MRH-1017,Rent,Hidden,MRH-1017,1RK in Sec-53,S2L-248-4,Pending,,,,https://drive.google.com/drive/folders/19NiZ0PxmeUyDyT_HhuNXTGP1rqrf_WTM
S2L,Saraswati Kunj,491,102,1 BHK,32K,01-Jun-26,,MRH-1018,,Hidden,MRH-1018,1 BHK in Saraswati Kunj,S2L-491-102,Pending,,,,https://drive.google.com/drive/folders/1pOjzFexaI5IiBiTFksQaA2uyEJaaRXmn
S2L,Saraswati Kunj,491,202,1 BHK,32K,31-May-26,,MRH-1019,,Hidden,MRH-1019,1 BHK in Saraswati Kunj,S2L-491-202,Pending,,,,https://drive.google.com/drive/folders/1IJeJjA6YNJmoIbFEvSLIV2xWYTI4kidI
S2L,Sec-28,3101,103,1RK,17K,31-May-26,,MRH-1020,Rent,Hidden,MRH-1020,1RK in Sec-28,S2L-3101-103,Pending,,,,https://drive.google.com/drive/folders/1k55SExB4zyRGE3rVo7UXhlpfyq7JU5CY
S2L,Sec-28,3101,302,1RK,18K,09-Jun-26,,MRH-1021,Rent,Hidden,MRH-1021,1RK in Sec-28,S2L-3101-302,Pending,,,,https://drive.google.com/drive/folders/1It3Aq4nYQKRBbpPJo4VZEzLWy66zfbQn
S2L,Sec-52,1597,214,1RK,17K,31-May-26,,MRH-1022,Rent,Hidden,MRH-1022,1RK in Sec-52,S2L-1597-214,Pending,,,,https://drive.google.com/drive/folders/1EEAeK591k1ztI0DFtO0zXK7UlCzaU1Nr
S2L,Sec-52,1597,302,1RK,16K,30-Jun-26,,MRH-1023,Rent,Hidden,MRH-1023,1RK in Sec-52,S2L-1597-302,Pending,,,,https://drive.google.com/drive/folders/1toYVYDKaJIO62aO7VNSYA4nbZsrc7Qph
S2L,Sec-52,1597,315,1RK,17K,31-May-26,,MRH-1024,Rent,Hidden,MRH-1024,1RK in Sec-52,S2L-1597-315,Pending,,,,https://drive.google.com/drive/folders/1CmqeO7bb1p4_3nT3aLsaMgZkUbeV046I
S2L,Sec-43,1373,B1,1RK,12K,31-May-26,,MRH-1025,Rent,Hidden,MRH-1025,1RK in Sec-43,S2L-1373-B1,Pending,,,,https://drive.google.com/drive/folders/1ZkQdOHd8X5rcYJaCf5rOL9BiZi8QyD5T
S2L,Sec-43,1373,B3,1RK,12K,31-May-26,,MRH-1026,Rent,Hidden,MRH-1026,1RK in Sec-43,S2L-1373-B3,Pending,,,,https://drive.google.com/drive/folders/1wmOX_XooBRSTmIG0aWUJPdamW_8PY1xG
